Attendance (%),Bengali,English,Math,Science,Total mark,Assignment Score,class participation,Study Hours per Week,Class Participation Score,Attendance_Scaled,Academic_Score,Engagement_Score,Effort_Score,Final_Performance_Score,Cluster,Cluster_Label,Weakest_Subject,AI_Tutor_Feedback,Risk_Level
77.0,6.0,5.0,8.0,0.0,4.75,0.0,3.0,3.0,5.0,7.7,4.75,5.35,1.5,4.279999999999999,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,High Risk
82.0,3.0,3.0,5.0,6.0,4.25,8.0,5.0,6.0,6.0,8.2,4.25,6.6,7.0,5.505,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
62.0,1.0,4.0,1.0,8.0,3.5,3.0,10.0,9.0,2.0,6.2,3.5,8.1,6.0,5.38,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
64.0,10.0,2.0,3.0,10.0,6.25,9.0,6.0,4.0,3.0,6.4,6.25,6.2,6.5,6.284999999999999,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
97.0,0.0,6.0,8.0,7.0,5.25,8.0,4.0,9.0,10.0,9.7,5.25,6.85,8.5,6.38,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
73.0,2.0,3.0,0.0,8.0,3.25,2.0,8.0,5.0,3.0,7.3,3.25,7.65,3.5,4.62,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
62.0,7.0,6.0,5.0,3.0,5.25,9.0,1.0,2.0,10.0,6.2,5.25,3.6,5.5,4.805,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,High Risk
62.0,9.0,6.0,0.0,1.0,4.0,2.0,0.0,9.0,2.0,6.2,4.0,3.1,5.5,4.029999999999999,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
71.0,9.0,1.0,5.0,2.0,4.25,7.0,8.0,9.0,2.0,7.1,4.25,7.55,8.0,5.99,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
52.0,2.0,6.0,1.0,3.0,3.0,10.0,9.0,3.0,9.0,5.2,3.0,7.1,6.5,4.93,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Math performance.,High Risk
77.0,8.0,0.0,4.0,9.0,5.25,7.0,8.0,5.0,3.0,7.7,5.25,7.85,6.0,6.180000000000001,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
97.0,6.0,6.0,0.0,9.0,5.25,1.0,6.0,9.0,5.0,9.7,5.25,7.85,5.0,5.98,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
61.0,5.0,4.0,5.0,3.0,4.25,2.0,10.0,7.0,9.0,6.1,4.25,8.05,4.5,5.44,2,Average Performer,Science,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
94.0,7.0,5.0,5.0,0.0,4.25,10.0,10.0,1.0,1.0,9.4,4.25,9.7,5.5,6.135,2,Average Performer,Science,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
82.0,5.0,3.0,2.0,1.0,2.75,1.0,10.0,10.0,10.0,8.2,2.75,9.1,5.5,5.205,2,Average Performer,Science,You are performing moderately well but there is room for improvement. You are studying but may need better learning strategies. Focus more on improving your Science performance.,Medium Risk
50.0,2.0,7.0,10.0,9.0,7.0,3.0,4.0,3.0,2.0,5.0,7.0,4.5,3.0,5.449999999999999,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,Medium Risk
64.0,0.0,7.0,8.0,3.0,4.5,10.0,1.0,3.0,9.0,6.4,4.5,3.7,6.5,4.66,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
87.0,6.0,9.0,9.0,6.0,7.5,4.0,2.0,3.0,10.0,8.7,7.5,5.35,3.5,6.055,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
96.0,8.0,5.0,9.0,8.0,7.5,7.0,4.0,3.0,1.0,9.6,7.5,6.8,5.0,6.79,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
52.0,2.0,10.0,6.0,10.0,7.0,5.0,8.0,2.0,4.0,5.2,7.0,6.6,3.5,6.18,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,Medium Risk
100.0,1.0,7.0,10.0,9.0,6.75,7.0,5.0,1.0,5.0,10.0,6.75,7.5,4.0,6.425,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
81.0,3.0,9.0,6.0,6.0,6.0,1.0,4.0,5.0,4.0,8.1,6.0,6.05,3.0,5.414999999999999,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
68.0,6.0,6.0,9.0,10.0,7.75,8.0,0.0,10.0,2.0,6.8,7.75,3.4,9.0,6.694999999999999,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. You are studying but may need better learning strategies. Focus more on improving your Bengali performance.,Medium Risk
52.0,6.0,8.0,7.0,7.0,7.0,1.0,10.0,4.0,6.0,5.2,7.0,7.6,2.5,6.279999999999999,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,Medium Risk
89.0,3.0,1.0,3.0,7.0,3.5,9.0,7.0,6.0,6.0,8.9,3.5,7.95,7.5,5.635,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
60.0,1.0,9.0,10.0,1.0,5.25,8.0,7.0,6.0,8.0,6.0,5.25,6.5,7.0,5.9750000000000005,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
82.0,9.0,10.0,9.0,7.0,8.75,6.0,6.0,5.0,2.0,8.2,8.75,7.1,5.5,7.605,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
91.0,3.0,8.0,4.0,10.0,6.25,5.0,3.0,1.0,9.0,9.1,6.25,6.05,3.0,5.539999999999999,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
97.0,4.0,6.0,5.0,2.0,4.25,4.0,6.0,1.0,7.0,9.7,4.25,7.85,2.5,4.98,2,Average Performer,Science,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,High Risk
87.0,5.0,8.0,1.0,2.0,4.0,0.0,9.0,10.0,5.0,8.7,4.0,8.85,5.0,5.654999999999999,2,Average Performer,Math,You are performing moderately well but there is room for improvement. You are studying but may need better learning strategies. Focus more on improving your Math performance.,Medium Risk
59.0,0.0,3.0,2.0,2.0,1.75,8.0,6.0,10.0,9.0,5.9,1.75,5.95,9.0,4.46,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,High Risk
88.0,6.0,3.0,9.0,3.0,5.25,9.0,10.0,5.0,7.0,8.8,5.25,9.4,7.0,6.845000000000001,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
55.0,5.0,10.0,6.0,6.0,6.75,6.0,9.0,2.0,2.0,5.5,6.75,7.25,4.0,6.35,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,Medium Risk
60.0,0.0,7.0,2.0,7.0,4.0,3.0,1.0,1.0,6.0,6.0,4.0,3.5,2.0,3.4499999999999997,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
63.0,1.0,1.0,10.0,8.0,5.0,8.0,2.0,1.0,9.0,6.3,5.0,4.15,4.5,4.6450000000000005,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
85.0,2.0,5.0,2.0,8.0,4.25,5.0,8.0,6.0,6.0,8.5,4.25,8.25,5.5,5.699999999999999,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
98.0,2.0,6.0,8.0,4.0,5.0,7.0,6.0,2.0,3.0,9.8,5.0,7.9,4.5,5.7700000000000005,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
94.0,8.0,6.0,7.0,8.0,7.25,1.0,10.0,3.0,10.0,9.4,7.25,9.7,2.0,6.9350000000000005,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
69.0,5.0,7.0,6.0,2.0,5.0,9.0,1.0,5.0,3.0,6.9,5.0,3.95,7.0,5.085,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
80.0,1.0,1.0,2.0,2.0,1.5,0.0,9.0,2.0,5.0,8.0,1.5,8.5,1.0,3.5,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
71.0,8.0,6.0,1.0,9.0,6.0,5.0,4.0,1.0,2.0,7.1,6.0,5.55,3.0,5.265000000000001,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
69.0,8.0,2.0,8.0,8.0,6.5,4.0,0.0,4.0,2.0,6.9,6.5,3.45,4.0,5.085,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
79.0,1.0,10.0,9.0,10.0,7.5,9.0,4.0,8.0,6.0,7.9,7.5,5.95,8.5,7.235,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
89.0,2.0,0.0,5.0,2.0,2.25,0.0,1.0,8.0,2.0,8.9,2.25,4.95,4.0,3.41,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
76.0,10.0,9.0,4.0,2.0,6.25,9.0,8.0,1.0,4.0,7.6,6.25,7.8,5.0,6.465,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
74.0,8.0,0.0,0.0,3.0,2.75,8.0,0.0,3.0,6.0,7.4,2.75,3.7,5.5,3.5850000000000004,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
86.0,0.0,4.0,8.0,5.0,4.25,2.0,2.0,10.0,5.0,8.6,4.25,5.3,6.0,4.915,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your Bengali performance.,High Risk
68.0,8.0,0.0,5.0,10.0,5.75,4.0,3.0,10.0,7.0,6.8,5.75,4.9,7.0,5.745,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your English performance.,Medium Risk
62.0,0.0,2.0,10.0,9.0,5.25,9.0,8.0,5.0,10.0,6.2,5.25,7.1,7.0,6.155,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
54.0,4.0,6.0,8.0,9.0,6.75,9.0,2.0,1.0,1.0,5.4,6.75,3.7,5.0,5.485,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,Medium Risk
99.0,1.0,10.0,9.0,7.0,6.75,2.0,10.0,7.0,10.0,9.9,6.75,9.95,4.5,7.26,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
90.0,4.0,5.0,0.0,9.0,4.5,5.0,10.0,4.0,9.0,9.0,4.5,9.5,4.5,6.0,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
81.0,3.0,0.0,5.0,4.0,3.0,6.0,2.0,6.0,1.0,8.1,3.0,5.05,6.0,4.215,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
80.0,4.0,6.0,5.0,1.0,4.0,6.0,0.0,10.0,4.0,8.0,4.0,4.0,8.0,4.800000000000001,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your Science performance.,High Risk
94.0,6.0,8.0,3.0,0.0,4.25,4.0,0.0,8.0,2.0,9.4,4.25,4.7,6.0,4.735,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,High Risk
66.0,3.0,5.0,2.0,3.0,3.25,5.0,10.0,10.0,8.0,6.6,3.25,8.3,7.5,5.615,2,Average Performer,Math,You are performing moderately well but there is room for improvement. You are studying but may need better learning strategies. Focus more on improving your Math performance.,Medium Risk
80.0,4.0,0.0,5.0,5.0,3.5,8.0,9.0,9.0,1.0,8.0,3.5,8.5,8.5,6.0,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
79.0,8.0,0.0,2.0,7.0,4.25,4.0,4.0,6.0,9.0,7.9,4.25,5.95,5.0,4.91,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
69.0,3.0,10.0,0.0,10.0,5.75,5.0,7.0,8.0,7.0,6.9,5.75,6.95,6.5,6.26,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
71.0,7.0,4.0,3.0,5.0,4.75,2.0,10.0,2.0,5.0,7.1,4.75,8.55,2.0,5.34,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
73.0,1.0,4.0,4.0,1.0,2.5,3.0,0.0,3.0,2.0,7.3,2.5,3.65,3.0,2.945,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
78.0,1.0,3.0,1.0,7.0,3.0,8.0,1.0,8.0,7.0,7.8,3.0,4.4,8.0,4.42,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
67.0,6.0,8.0,8.0,1.0,5.75,2.0,6.0,7.0,7.0,6.7,5.75,6.35,4.5,5.68,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
60.0,1.0,8.0,1.0,10.0,5.0,4.0,0.0,4.0,10.0,6.0,5.0,3.0,4.0,4.2,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
75.0,1.0,1.0,5.0,0.0,1.75,5.0,5.0,8.0,9.0,7.5,1.75,6.25,6.5,4.05,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,High Risk
62.0,8.0,9.0,1.0,9.0,6.75,3.0,6.0,8.0,1.0,6.2,6.75,6.1,5.5,6.305,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
91.0,7.0,5.0,1.0,5.0,4.5,0.0,10.0,5.0,4.0,9.1,4.5,9.55,2.5,5.615,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
85.0,1.0,3.0,3.0,4.0,2.75,6.0,7.0,5.0,9.0,8.5,2.75,7.75,5.5,4.8,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
75.0,6.0,0.0,0.0,1.0,1.75,6.0,3.0,5.0,1.0,7.5,1.75,5.25,5.5,3.5500000000000003,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
72.0,1.0,6.0,6.0,2.0,3.75,3.0,5.0,4.0,7.0,7.2,3.75,6.1,3.5,4.405,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
52.0,10.0,5.0,9.0,10.0,8.5,6.0,5.0,2.0,4.0,5.2,8.5,5.1,4.0,6.579999999999999,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your English performance.,Medium Risk
79.0,10.0,7.0,5.0,4.0,6.5,7.0,7.0,8.0,4.0,7.9,6.5,7.45,7.5,6.984999999999999,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
66.0,9.0,7.0,0.0,4.0,5.0,8.0,7.0,5.0,6.0,6.6,5.0,6.8,6.5,5.84,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
100.0,4.0,0.0,3.0,4.0,2.75,3.0,9.0,5.0,9.0,10.0,2.75,9.5,4.0,5.0249999999999995,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
56.0,3.0,2.0,6.0,2.0,3.25,3.0,10.0,2.0,3.0,5.6,3.25,7.8,2.5,4.465,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your English performance.,High Risk
91.0,4.0,2.0,10.0,6.0,5.5,3.0,2.0,7.0,5.0,9.1,5.5,5.55,5.0,5.415,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
73.0,0.0,2.0,6.0,5.0,3.25,10.0,3.0,8.0,5.0,7.3,3.25,5.15,9.0,4.97,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
77.0,10.0,8.0,2.0,4.0,6.0,8.0,6.0,1.0,4.0,7.7,6.0,6.85,4.5,5.955,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
74.0,2.0,1.0,9.0,1.0,3.25,2.0,5.0,2.0,10.0,7.4,3.25,6.2,2.0,3.885,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
87.0,5.0,6.0,5.0,10.0,6.5,6.0,2.0,5.0,9.0,8.7,6.5,5.35,5.5,5.955,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
53.0,1.0,6.0,9.0,8.0,6.0,9.0,10.0,3.0,6.0,5.3,6.0,7.65,6.0,6.495,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,Medium Risk
58.0,1.0,2.0,4.0,6.0,3.25,4.0,2.0,2.0,4.0,5.8,3.25,3.9,3.0,3.395,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,High Risk
78.0,8.0,0.0,8.0,1.0,4.25,5.0,3.0,6.0,9.0,7.8,4.25,5.4,5.5,4.845000000000001,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
54.0,6.0,2.0,0.0,4.0,3.0,0.0,1.0,4.0,10.0,5.4,3.0,3.2,2.0,2.86,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Math performance.,High Risk
97.0,10.0,6.0,3.0,2.0,5.25,7.0,8.0,1.0,6.0,9.7,5.25,8.85,4.0,6.079999999999999,2,Average Performer,Science,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
70.0,9.0,2.0,8.0,5.0,6.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,6.0,6.3,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
71.0,3.0,3.0,4.0,5.0,3.75,9.0,0.0,2.0,5.0,7.1,3.75,3.55,5.5,4.04,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
53.0,9.0,9.0,4.0,0.0,5.5,6.0,7.0,10.0,10.0,5.3,5.5,6.15,8.0,6.195,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. You are studying but may need better learning strategies. Low attendance is affecting your academic performance. Focus more on improving your Science performance.,Medium Risk
80.0,8.0,7.0,3.0,9.0,6.75,6.0,0.0,5.0,10.0,8.0,6.75,4.0,5.5,5.675000000000001,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
93.0,10.0,7.0,4.0,4.0,6.25,0.0,6.0,10.0,3.0,9.3,6.25,7.65,5.0,6.42,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. You are studying but may need better learning strategies. Focus more on improving your Math performance.,Medium Risk
